open,high,low,close,tick_volume,date,time_only,noisy_day
3340.82,3344.74,3336.26,3342.65,12620,2025-07-17,04:00:00,False
3342.64,3342.85,3325.21,3328.85,15437,2025-07-17,08:00:00,False
3328.81,3332.52,3309.9,3313.07,16654,2025-07-17,12:00:00,False
3313.57,3339.92,3311.27,3338.86,20142,2025-07-17,16:00:00,False
3338.87,3341.07,3335.62,3338.1,11829,2025-07-17,20:00:00,False
3341.64,3343.95,3338.03,3339.87,6120,2025-07-18,00:00:00,False
3339.89,3344.29,3333.87,3337.01,11076,2025-07-18,04:00:00,False
3336.94,3350.34,3331.8,3347.43,12901,2025-07-18,08:00:00,False
3347.46,3361.24,3347.45,3359.98,13489,2025-07-18,12:00:00,False
3360.07,3360.31,3351.22,3353.69,16103,2025-07-18,16:00:00,False
3353.72,3353.74,3347.65,3350.85,10217,2025-07-18,20:00:00,False
3350.01,3354.56,3345.0,3352.27,6339,2025-07-21,00:00:00,False
3352.1,3358.67,3350.72,3357.79,10985,2025-07-21,04:00:00,False
3357.78,3370.76,3357.63,3365.92,14600,2025-07-21,08:00:00,False
3365.97,3388.6,3362.85,3387.2,14203,2025-07-21,12:00:00,False
3387.41,3401.59,3383.71,3395.63,19615,2025-07-21,16:00:00,False
3395.65,3399.74,3391.56,3397.41,13174,2025-07-21,20:00:00,False
3399.04,3402.67,3390.52,3394.58,7139,2025-07-22,00:00:00,False
3394.62,3395.77,3385.17,3391.08,13460,2025-07-22,04:00:00,False
3391.4,3391.9,3383.26,3389.0,14738,2025-07-22,08:00:00,False
3388.97,3407.84,3384.65,3407.63,13874,2025-07-22,12:00:00,False
3407.55,3432.97,3405.19,3432.2,22138,2025-07-22,16:00:00,False
3432.26,3433.53,3426.55,3429.58,15282,2025-07-22,20:00:00,False
3430.9,3438.77,3426.26,3428.85,8200,2025-07-23,00:00:00,False
3428.9,3430.61,3419.26,3423.51,15574,2025-07-23,04:00:00,False
3423.56,3429.64,3416.41,3428.4,16097,2025-07-23,08:00:00,False
3428.45,3433.84,3419.95,3419.98,13450,2025-07-23,12:00:00,False
